WES8617,Average=None,QualityFlag=FALSE,QualityValue=FALSE
DateTime,MP1\QFINAL,MP1\QCONTINUITY,MP1\QUANTITY
MM/dd/yyyy h:mm:ss tt,MGD,MGD,MGD
06/12/2024 12:00:00 AM,2.04102980687429,2.04102980687429,2.04102980687429
06/12/2024 01:00:00 AM,1.80716738330316,1.80716738330316,1.80716738330316
06/12/2024 02:00:00 AM,1.48964345486854,1.48964345486854,1.48964345486854
06/12/2024 03:00:00 AM,1.43333930374495,1.43333930374495,1.43333930374495
06/12/2024 04:00:00 AM,1.44397172735558,1.44397172735558,1.44397172735558
06/12/2024 05:00:00 AM,1.5241801849685,1.5241801849685,1.5241801849685
06/12/2024 06:00:00 AM,1.98645035037212,1.98645035037212,1.98645035037212
06/12/2024 07:00:00 AM,2.4118160028077,2.4118160028077,2.4118160028077
06/12/2024 08:00:00 AM,2.89012566610227,2.89012566610227,2.89012566610227
06/12/2024 09:00:00 AM,2.85709361691474,2.85709361691474,2.85709361691474
06/12/2024 10:00:00 AM,3.14283280802574,3.14283280802574,3.14283280802574
06/12/2024 11:00:00 AM,3.21568805583057,3.21568805583057,3.21568805583057
06/12/2024 12:00:00 PM,3.25913486532626,3.25913486532626,3.25913486532626
06/12/2024 01:00:00 PM,3.16526743038106,3.16526743038106,3.16526743038106
06/12/2024 02:00:00 PM,3.14503478500813,3.14503478500813,3.14503478500813
06/12/2024 03:00:00 PM,3.1655117872042,3.1655117872042,3.1655117872042
06/12/2024 04:00:00 PM,2.92264494646917,2.92264494646917,2.92264494646917
06/12/2024 05:00:00 PM,3.22366325966593,3.22366325966593,3.22366325966593
06/12/2024 06:00:00 PM,3.14702719838258,3.14702719838258,3.14702719838258
06/12/2024 07:00:00 PM,3.48797514835944,3.48797514835944,3.48797514835944
06/12/2024 08:00:00 PM,3.36002582763015,3.36002582763015,3.36002582763015
06/12/2024 09:00:00 PM,3.49014522895393,3.49014522895393,3.49014522895393
06/12/2024 10:00:00 PM,3.07660392998953,3.07660392998953,3.07660392998953
06/12/2024 11:00:00 PM,2.80133420016041,2.80133420016041,2.80133420016041
06/13/2024 12:00:00 AM,2.03479599198222,2.03479599198222,2.03479599198222
06/13/2024 01:00:00 AM,1.77759601824999,1.77759601824999,1.77759601824999
06/13/2024 02:00:00 AM,1.44279770341915,1.44279770341915,1.44279770341915
06/13/2024 03:00:00 AM,1.37609120837017,1.37609120837017,1.37609120837017
06/13/2024 04:00:00 AM,1.40029367155273,1.40029367155273,1.40029367155273
06/13/2024 05:00:00 AM,1.50260521763632,1.50260521763632,1.50260521763632
06/13/2024 06:00:00 AM,2.06766692391313,2.06766692391313,2.06766692391313
06/13/2024 07:00:00 AM,2.49086646882557,2.49086646882557,2.49086646882557
06/13/2024 08:00:00 AM,2.77240805278987,2.77240805278987,2.77240805278987
06/13/2024 09:00:00 AM,2.85313959138908,2.85313959138908,2.85313959138908
06/13/2024 10:00:00 AM,3.04613899897633,3.04613899897633,3.04613899897633
06/13/2024 11:00:00 AM,2.97594760944025,2.97594760944025,2.97594760944025
06/13/2024 12:00:00 PM,3.24337566244533,3.24337566244533,3.24337566244533
06/13/2024 01:00:00 PM,3.08107029668285,3.08107029668285,3.08107029668285
06/13/2024 02:00:00 PM,3.24708908360656,3.24708908360656,3.24708908360656
06/13/2024 03:00:00 PM,3.04970661922171,3.04970661922171,3.04970661922171
06/13/2024 04:00:00 PM,3.03583601339239,3.03583601339239,3.03583601339239
06/13/2024 05:00:00 PM,3.28080040918637,3.28080040918637,3.28080040918637
06/13/2024 06:00:00 PM,3.24742921981902,3.24742921981902,3.24742921981902
06/13/2024 07:00:00 PM,3.39884164228448,3.39884164228448,3.39884164228448
06/13/2024 08:00:00 PM,3.52531439037849,3.52531439037849,3.52531439037849
06/13/2024 09:00:00 PM,3.35233868200496,3.35233868200496,3.35233868200496
06/13/2024 10:00:00 PM,3.18123911893989,3.18123911893989,3.18123911893989
06/13/2024 11:00:00 PM,2.8978813214295,2.8978813214295,2.8978813214295
06/14/2024 12:00:00 AM,2.17435191756175,2.17435191756175,2.17435191756175
06/14/2024 01:00:00 AM,1.81480886918365,1.81480886918365,1.81480886918365
06/14/2024 02:00:00 AM,1.55641297097248,1.55641297097248,1.55641297097248
06/14/2024 03:00:00 AM,1.46800608841067,1.46800608841067,1.46800608841067
06/14/2024 04:00:00 AM,1.41255462143012,1.41255462143012,1.41255462143012
06/14/2024 05:00:00 AM,1.52586715480731,1.52586715480731,1.52586715480731
06/14/2024 06:00:00 AM,2.02041734193949,2.02041734193949,2.02041734193949
06/14/2024 07:00:00 AM,2.57697249292275,2.57697249292275,2.57697249292275
06/14/2024 08:00:00 AM,2.72605760175522,2.72605760175522,2.72605760175522
06/14/2024 09:00:00 AM,2.93888175681031,2.93888175681031,2.93888175681031
06/14/2024 10:00:00 AM,3.01048875807263,3.01048875807263,3.01048875807263
06/14/2024 11:00:00 AM,3.25985728009237,3.25985728009237,3.25985728009237
06/14/2024 12:00:00 PM,3.17430574058971,3.17430574058971,3.17430574058971
06/14/2024 01:00:00 PM,3.24447032464382,3.24447032464382,3.24447032464382
06/14/2024 02:00:00 PM,3.26553884078676,3.26553884078676,3.26553884078676
06/14/2024 03:00:00 PM,3.17445419952346,3.17445419952346,3.17445419952346
06/14/2024 04:00:00 PM,3.03321315889838,3.03321315889838,3.03321315889838
06/14/2024 05:00:00 PM,3.33486461499831,3.33486461499831,3.33486461499831
06/14/2024 06:00:00 PM,3.29579611946787,3.29579611946787,3.29579611946787
06/14/2024 07:00:00 PM,3.30605599862219,3.30605599862219,3.30605599862219
06/14/2024 08:00:00 PM,3.29151272295705,3.29151272295705,3.29151272295705
06/14/2024 09:00:00 PM,3.23139912999007,3.23139912999007,3.23139912999007
06/14/2024 10:00:00 PM,3.24258957597455,3.24258957597455,3.24258957597455
06/14/2024 11:00:00 PM,2.89821229253279,2.89821229253279,2.89821229253279
06/15/2024 12:00:00 AM,2.34305587601664,2.34305587601664,2.34305587601664
06/15/2024 01:00:00 AM,1.88626381299889,1.88626381299889,1.88626381299889
06/15/2024 02:00:00 AM,1.60241493166985,1.60241493166985,1.60241493166985
06/15/2024 03:00:00 AM,1.39596542160237,1.39596542160237,1.39596542160237
06/15/2024 04:00:00 AM,1.33323654770143,1.33323654770143,1.33323654770143
06/15/2024 05:00:00 AM,1.52561271865117,1.52561271865117,1.52561271865117
06/15/2024 06:00:00 AM,1.51405297798672,1.51405297798672,1.51405297798672
06/15/2024 07:00:00 AM,2.11759907688699,2.11759907688699,2.11759907688699
06/15/2024 08:00:00 AM,2.48088246457866,2.48088246457866,2.48088246457866
