BRA10477,Average=None,QualityFlag=FALSE,QualityValue=FALSE
DateTime,MP1\QFINAL,MP1\QCONTINUITY,MP1\QUANTITY
MM/dd/yyyy h:mm:ss tt,MGD,MGD,MGD
06/15/2024 07:00:00 AM,7.718471501,7.718471501,7.718471501
06/15/2024 08:00:00 AM,11.1407233,11.1407233,11.1407233
06/15/2024 09:00:00 AM,13.13644388,13.13644388,13.13644388
06/15/2024 10:00:00 AM,15.43187901,15.43187901,15.43187901
06/15/2024 11:00:00 AM,14.89939927,14.89939927,14.89939927
06/15/2024 12:00:00 PM,15.3749322,15.3749322,15.3749322
06/15/2024 01:00:00 PM,14.60466817,14.60466817,14.60466817
06/15/2024 02:00:00 PM,14.21963285,14.21963285,14.21963285
06/15/2024 03:00:00 PM,13.55297015,13.55297015,13.55297015
06/15/2024 04:00:00 PM,13.88945801,13.88945801,13.88945801
06/15/2024 05:00:00 PM,13.73946738,13.73946738,13.73946738
06/15/2024 06:00:00 PM,13.43689493,13.43689493,13.43689493
06/15/2024 07:00:00 PM,13.82442094,13.82442094,13.82442094
06/15/2024 08:00:00 PM,13.76049339,13.76049339,13.76049339
06/15/2024 09:00:00 PM,14.0753517,14.0753517,14.0753517
06/15/2024 10:00:00 PM,13.71491158,13.71491158,13.71491158
06/15/2024 11:00:00 PM,12.61483297,12.61483297,12.61483297
06/16/2024 12:00:00 AM,10.00018729,10.00018729,10.00018729
06/16/2024 01:00:00 AM,8.125484131,8.125484131,8.125484131
06/16/2024 02:00:00 AM,7.115300855,7.115300855,7.115300855
06/16/2024 03:00:00 AM,6.70321027,6.70321027,6.70321027
06/16/2024 04:00:00 AM,5.509050844,5.509050844,5.509050844
06/16/2024 05:00:00 AM,5.647271962,5.647271962,5.647271962
06/16/2024 06:00:00 AM,5.6365832,5.6365832,5.6365832
06/16/2024 07:00:00 AM,7.539630444,7.539630444,7.539630444
06/16/2024 08:00:00 AM,10.35791454,10.35791454,10.35791454
06/16/2024 09:00:00 AM,12.99221668,12.99221668,12.99221668
06/16/2024 10:00:00 AM,14.91338638,14.91338638,14.91338638
06/16/2024 11:00:00 AM,15.50435757,15.50435757,15.50435757
06/16/2024 12:00:00 PM,15.56173948,15.56173948,15.56173948
06/16/2024 01:00:00 PM,14.38304426,14.38304426,14.38304426
06/16/2024 02:00:00 PM,14.28181084,14.28181084,14.28181084
06/16/2024 03:00:00 PM,13.98975903,13.98975903,13.98975903
06/16/2024 04:00:00 PM,13.94914262,13.94914262,13.94914262
06/16/2024 05:00:00 PM,13.99285219,13.99285219,13.99285219
06/16/2024 06:00:00 PM,14.21727613,14.21727613,14.21727613
06/16/2024 07:00:00 PM,14.40670445,14.40670445,14.40670445
06/16/2024 08:00:00 PM,15.00776972,15.00776972,15.00776972
06/16/2024 09:00:00 PM,15.08365544,15.08365544,15.08365544
06/16/2024 10:00:00 PM,14.18162277,14.18162277,14.18162277
06/16/2024 11:00:00 PM,12.46580728,12.46580728,12.46580728
06/17/2024 12:00:00 AM,9.513712789,9.513712789,9.513712789
06/17/2024 01:00:00 AM,8.031838453,8.031838453,8.031838453
06/17/2024 02:00:00 AM,5.808000446,5.808000446,5.808000446
06/17/2024 03:00:00 AM,6.276462159,6.276462159,6.276462159
06/17/2024 04:00:00 AM,5.738468307,5.738468307,5.738468307
06/17/2024 05:00:00 AM,6.197332562,6.197332562,6.197332562
06/17/2024 06:00:00 AM,7.894546549,7.894546549,7.894546549
06/17/2024 07:00:00 AM,10.06335385,10.06335385,10.06335385
06/17/2024 08:00:00 AM,13.17019909,13.17019909,13.17019909
06/17/2024 09:00:00 AM,13.92072209,13.92072209,13.92072209
06/17/2024 10:00:00 AM,14.52745701,14.52745701,14.52745701
06/17/2024 11:00:00 AM,14.75128465,14.75128465,14.75128465
06/17/2024 12:00:00 PM,14.81514005,14.81514005,14.81514005
06/17/2024 01:00:00 PM,14.85173291,14.85173291,14.85173291
06/17/2024 02:00:00 PM,14.43230338,14.43230338,14.43230338
