CMMS_ASSET_ID,PI_TAG,BASIN,AREA_FT2,STATION_NAME,TEMPLATE
LS-001520,WEST:NEL1082,BUCKMAN,50.3,NELSON ST - 1082,_cte_lead
LS-001428,NORTH:MCC2251,BUCKMAN,63.6,MCCOYS CREEK BLVD - 2251,_cte_lead
LS-002394,NORTH:WAT604,BUCKMAN,425.2,WATER ST - 604,_cte_leadsp
LS-000939,EAST:GAT12409,ARLINGTON EAST,28.3,GATELY RD S - 12409,_cte_lead
LS-002089,SOUTH:SOU9601,ARLINGTON EAST,78.5,SOUTHBROOK DR - 9601,_cte_lead
LS-001508,EAST:MOU4513,ARLINGTON EAST,28.3,MOUNTAIN BROOK LN E - 4513,_cte_lead
LS-002290,SOUTH:TOU9803,ARLINGTON EAST,78.6,TOUCHTON RD - 9803,_cte_lead
LS-001764,SOUTH:PIC9456,MANDARIN,33.2,PICKWICK DR - 9456,_cte_lead
LS-002024,SOUTH:SCO9967,MANDARIN,28.3,SCOTT MILL RD - 9967,_cte_lead
LS-001023,SOUTH:HAR3200,MANDARIN,50.3,HARTLEY RD - 3200,_cte_lead
LS-001000,SOUTH:HAL2975,MANDARIN,28.3,HALCYON LN - 2975,_cte_lead
LS-001022,SOUTH:HAR3010,MANDARIN,28.3,HARTLEY RD - 3010,_cte_lead
LS-001364,SOUTH:LOS11065,MANDARIN,50.3,LOSCO JUNCTION DR - 11065,_cte_leadsp
LS-001467,SOUTH:MIN5872,MANDARIN,28.3,MINING TER - 5872,_cte_lead
LS-000987,SOUTH:GRE5050,MANDARIN,50.3,GREENLAND RD - 5050,_cte_lead
LS-000229,SOUTH:BAR4501,MANDARIN,28.3,BARKOSKIE RD - 4501,_cte_lead
LS-000599,SOUTH:COL11800,MANDARIN,28.3,COLLINS CREEK DR - 11800,_cte_lead
LS-002157,SOUTH:STA12001,MANDARIN,28.3,ST AUGUSTINE RD - 12001,_cte_lead
LS-000837,STJOHNS:ELM220,JCP,28.3,ELMWOOD DR - 220,_cte_leadsp
LS-000886,STJOHNS:FLO1325,JCP,50.3,FLORA BRANCH BLVD - 1325,_cte_leadsp
LS-002424,EAST:WHI2454,ARLINGTON EAST,28.3,WHISPERING WOODS BLVD - 2454,_cte_lead
LS-000366,SOUTH:BEC11082,ARLINGTON EAST,113.1,BECKLEY PL - 11082,_cte_leadsp
LS-000284,EAST:BEA11325,ARLINGTON EAST,19.63495408,BEACH BLVD - 11325,_cte_leadsp
LS-001284,NORTH:LEM10600,CEDAR BAY,28.3,LEM TURNER RD - 10600,_cte_leadsp
LS-000228,NORTH:BAL528,CEDAR BAY,113.1,BALMORAL CIR N - 528,_cte_lead
LS-000505,NORTH:CAM11855,CEDAR BAY,19.63495408,CAMDEN RD - 11855,_cte_lead
LS-000594,EAST:COA2664,ARLINGTON EAST,28.3,COACHMAN LAKES DR - 2664,_cte_lead
LS-000677,EAST:DAN3780,ARLINGTON EAST,50.3,DANFORTH DR - 3780,_cte_lead
LS-002004,EAST:SAN3098,ARLINGTON EAST,28.3,SAN PABLO RD S - 3098,_cte_lead
LS-000298,EAST:BEA13955,ARLINGTON EAST,19.63495408,BEACH BLVD - 13955,_cte_lead
LS-001713,EAST:PHI3699,BUCKMAN,28.3,PHILIPS HWY - 3699,_cte_lead
LS-000438,NORTH:BLU554,CEDAR BAY,28.3,BLUE WHALE WAY - 554,_cte_lead
LS-000775,NORTH:DUV590,CEDAR BAY,28.3,DUVAL STATION RD - 590,_cte_lead
LS-001174,NORTH:KEN7260,BUCKMAN,121,KEN KNIGHT DR W - 7260,_cte_lead
LS-000947,NORTH:GIL5772,BUCKMAN,19.63495408,GILCHRIST RD - 5772,_cte_leadsp
LS-000058,WEST:ABE5180,BUCKMAN,50.3,ABEL LN - 5180,_cte_lead
LS-000824,WEST:ELL1060,BUCKMAN,28.3,ELLIS RD N - 1060,_cte_lead
LS-001755,WEST:PIC1219,BUCKMAN,50.3,PICKETTVILLE RD - 1219,_cte_lead
