"Selected(x)","Parent","Name","ObjectType","Template","AttributeValue"
"x","WASTEWATER","EST FLOW","Element","",""
"x","WASTEWATER\EST FLOW","ARLINGTON EAST","Element","",""
"x","WASTEWATER\EST FLOW","BLACKS FORD","Element","",""
"x","WASTEWATER\EST FLOW","BUCKMAN","Element","",""
"x","WASTEWATER\EST FLOW","CEDAR BAY","Element","",""
"x","WASTEWATER\EST FLOW","GREENLAND","Element","",""
"x","WASTEWATER\EST FLOW","JCP","Element","",""
"x","WASTEWATER\EST FLOW","MANDARIN","Element","",""
"x","WASTEWATER\EST FLOW","MONTEREY","Element","",""
"x","WASTEWATER\EST FLOW","NASSAU","Element","",""
"x","WASTEWATER\EST FLOW","PONCE DE LEON","Element","",""
"x","WASTEWATER\EST FLOW","PONTE VEDRA","Element","",""
"x","WASTEWATER\EST FLOW","SOUTHWEST","Element","",""
"x","WASTEWATER\EST FLOW",NA,"Element","",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","DURBANS POINT PL - 12512","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","CMMS Asset ID","Attribute","","LS-004352"
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","PI Tag","Attribute","","NORTH:DUR12512"
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\DURBANS POINT PL - 12512","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\GREENLAND","REFLECTIONS AVE - 86","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","CMMS Asset ID","Attribute","","LS-004358"
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","PI Tag","Attribute","","STJOHNS:REF86"
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\GREENLAND\REFLECTIONS AVE - 86","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","JUNIPER HILLS DR - 658","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","CMMS Asset ID","Attribute","","LS-004370"
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","PI Tag","Attribute","","STJOHNS:JUN658"
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\JUNIPER HILLS DR - 658","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","GRAND LAKES DR - 157","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","CMMS Asset ID","Attribute","","LS-004384"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","PI Tag","Attribute","","STJOHNS:GRA157"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\GRAND LAKES DR - 157","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","SPOTTED SEA DR - 10076","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\SPOTTED SEA DR - 10076","CMMS Asset ID","Attribute","","LS-004399"
"x","WASTEWATER\EST FLOW\BUCKMAN\SPOTTED SEA DR - 10076","PI Tag","Attribute","","STJOHNS:SPO10076"
"x","WASTEWATER\EST FLOW\BUCKMAN\SPOTTED SEA DR - 10076","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BUCKMAN\SPOTTED SEA DR - 10076","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\SPOTTED SEA DR - 10076","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\SOUTHWEST","BUSTO CIR - 7094","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\BUSTO CIR - 7094","CMMS Asset ID","Attribute","","LS-004400"
"x","WASTEWATER\EST FLOW\SOUTHWEST\BUSTO CIR - 7094","PI Tag","Attribute","","WEST:BUS7094"
"x","WASTEWATER\EST FLOW\SOUTHWEST\BUSTO CIR - 7094","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\SOUTHWEST\BUSTO CIR - 7094","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\BUSTO CIR - 7094","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\NASSAU","DRIFTWOOD CT - 75425","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\NASSAU\DRIFTWOOD CT - 75425","CMMS Asset ID","Attribute","","LS-004349"
"x","WASTEWATER\EST FLOW\NASSAU\DRIFTWOOD CT - 75425","PI Tag","Attribute","","NASSAU:DRI75425"
"x","WASTEWATER\EST FLOW\NASSAU\DRIFTWOOD CT - 75425","Wetwell Area","Attribute","","50.2654824574367"
"x","WASTEWATER\EST FLOW\NASSAU\DRIFTWOOD CT - 75425","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\NASSAU\DRIFTWOOD CT - 75425","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\NASSAU","BLACKROCK COVE WAY - 96736","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\NASSAU\BLACKROCK COVE WAY - 96736","CMMS Asset ID","Attribute","","LS-004355"
"x","WASTEWATER\EST FLOW\NASSAU\BLACKROCK COVE WAY - 96736","PI Tag","Attribute","","NASSAU:BLA96736"
"x","WASTEWATER\EST FLOW\NASSAU\BLACKROCK COVE WAY - 96736","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\NASSAU\BLACKROCK COVE WAY - 96736","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\NASSAU\BLACKROCK COVE WAY - 96736","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\PONTE VEDRA","PONTE VEDRA BLVD - 216","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\PONTE VEDRA\PONTE VEDRA BLVD - 216","CMMS Asset ID","Attribute","","LS-001791"
"x","WASTEWATER\EST FLOW\PONTE VEDRA\PONTE VEDRA BLVD - 216","PI Tag","Attribute","","STJOHNS:PON216"
"x","WASTEWATER\EST FLOW\PONTE VEDRA\PONTE VEDRA BLVD - 216","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\PONTE VEDRA\PONTE VEDRA BLVD - 216","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\PONTE VEDRA\PONTE VEDRA BLVD - 216","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\NASSAU","STILLPOINT WAY - 96382","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\NASSAU\STILLPOINT WAY - 96382","CMMS Asset ID","Attribute","","LS-004359"
"x","WASTEWATER\EST FLOW\NASSAU\STILLPOINT WAY - 96382","PI Tag","Attribute","","NASSAU:STI96382"
"x","WASTEWATER\EST FLOW\NASSAU\STILLPOINT WAY - 96382","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\NASSAU\STILLPOINT WAY - 96382","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\NASSAU\STILLPOINT WAY - 96382","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\NASSAU","DEL WEBB PKWY - 1013","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\NASSAU\DEL WEBB PKWY - 1013","CMMS Asset ID","Attribute","","LS-004373"
"x","WASTEWATER\EST FLOW\NASSAU\DEL WEBB PKWY - 1013","PI Tag","Attribute","","NASSAU:DEL1013"
"x","WASTEWATER\EST FLOW\NASSAU\DEL WEBB PKWY - 1013","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\NASSAU\DEL WEBB PKWY - 1013","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\NASSAU\DEL WEBB PKWY - 1013","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","DETAILLE DR - 4735","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\DETAILLE DR - 4735","CMMS Asset ID","Attribute","","LS-000719"
"x","WASTEWATER\EST FLOW\BUCKMAN\DETAILLE DR - 4735","PI Tag","Attribute","","NORTH:DET4735"
"x","WASTEWATER\EST FLOW\BUCKMAN\DETAILLE DR - 4735","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\BUCKMAN\DETAILLE DR - 4735","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\BUCKMAN\DETAILLE DR - 4735","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","KERNAN BLVD N - 102","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\KERNAN BLVD N - 102","CMMS Asset ID","Attribute","","LS-001184"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\KERNAN BLVD N - 102","PI Tag","Attribute","","EAST:KER102-1"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\KERNAN BLVD N - 102","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\KERNAN BLVD N - 102","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\KERNAN BLVD N - 102","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\GREENLAND","TOWN VIEW DR - 11178","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\GREENLAND\TOWN VIEW DR - 11178","CMMS Asset ID","Attribute","","LS-004149"
"x","WASTEWATER\EST FLOW\GREENLAND\TOWN VIEW DR - 11178","PI Tag","Attribute","","SOUTH:TOW11178"
"x","WASTEWATER\EST FLOW\GREENLAND\TOWN VIEW DR - 11178","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\GREENLAND\TOWN VIEW DR - 11178","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\GREENLAND\TOWN VIEW DR - 11178","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","WABASH BLVD - 5343","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\WABASH BLVD - 5343","CMMS Asset ID","Attribute","","LS-004224"
"x","WASTEWATER\EST FLOW\BUCKMAN\WABASH BLVD - 5343","PI Tag","Attribute","","WEST:WAB5343"
"x","WASTEWATER\EST FLOW\BUCKMAN\WABASH BLVD - 5343","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\BUCKMAN\WABASH BLVD - 5343","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\WABASH BLVD - 5343","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","GRETA CT - 5812","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","CMMS Asset ID","Attribute","","LS-004301"
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","PI Tag","Attribute","","NORTH:GRE5812"
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","GRETA CT - 5812","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","CMMS Asset ID","Attribute","","LS-004301"
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","PI Tag","Attribute","","NORTH:GRE5812"
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\GRETA CT - 5812","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\MANDARIN","WIND ROW DR - 14101","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\MANDARIN\WIND ROW DR - 14101","CMMS Asset ID","Attribute","","LS-004347"
"x","WASTEWATER\EST FLOW\MANDARIN\WIND ROW DR - 14101","PI Tag","Attribute","","STJOHNS:WIN14101"
"x","WASTEWATER\EST FLOW\MANDARIN\WIND ROW DR - 14101","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\MANDARIN\WIND ROW DR - 14101","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\MANDARIN\WIND ROW DR - 14101","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","LILIAS CIR - 8574","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\LILIAS CIR - 8574","CMMS Asset ID","Attribute","","LS-004366"
"x","WASTEWATER\EST FLOW\BUCKMAN\LILIAS CIR - 8574","PI Tag","Attribute","","WEST:LIL8574"
"x","WASTEWATER\EST FLOW\BUCKMAN\LILIAS CIR - 8574","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\BUCKMAN\LILIAS CIR - 8574","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\LILIAS CIR - 8574","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\GREENLAND","CAIDEN DR - 750","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\GREENLAND\CAIDEN DR - 750","CMMS Asset ID","Attribute","","LS-004368"
"x","WASTEWATER\EST FLOW\GREENLAND\CAIDEN DR - 750","PI Tag","Attribute","","STJOHNS:CAI750"
"x","WASTEWATER\EST FLOW\GREENLAND\CAIDEN DR - 750","Wetwell Area","Attribute","","50.2654824574367"
"x","WASTEWATER\EST FLOW\GREENLAND\CAIDEN DR - 750","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\GREENLAND\CAIDEN DR - 750","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\SOUTHWEST","ELMO LN - 8699","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\ELMO LN - 8699","CMMS Asset ID","Attribute","","LS-004378"
"x","WASTEWATER\EST FLOW\SOUTHWEST\ELMO LN - 8699","PI Tag","Attribute","","WEST:ELM8699"
"x","WASTEWATER\EST FLOW\SOUTHWEST\ELMO LN - 8699","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\SOUTHWEST\ELMO LN - 8699","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\ELMO LN - 8699","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","RACE TRACK RD - 4636","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\RACE TRACK RD - 4636","CMMS Asset ID","Attribute","","LS-004394"
"x","WASTEWATER\EST FLOW\BLACKS FORD\RACE TRACK RD - 4636","PI Tag","Attribute","","STJOHNS:RAC4636"
"x","WASTEWATER\EST FLOW\BLACKS FORD\RACE TRACK RD - 4636","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\BLACKS FORD\RACE TRACK RD - 4636","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\RACE TRACK RD - 4636","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\NASSAU","LINGER LONGER AVE - 504","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\NASSAU\LINGER LONGER AVE - 504","CMMS Asset ID","Attribute","","LS-004379"
"x","WASTEWATER\EST FLOW\NASSAU\LINGER LONGER AVE - 504","PI Tag","Attribute","","NASSAU:LIN504"
"x","WASTEWATER\EST FLOW\NASSAU\LINGER LONGER AVE - 504","Wetwell Area","Attribute","","78.54"
"x","WASTEWATER\EST FLOW\NASSAU\LINGER LONGER AVE - 504","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\NASSAU\LINGER LONGER AVE - 504","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\GREENLAND","EVER RANGE PKWY - 12297","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\GREENLAND\EVER RANGE PKWY - 12297","CMMS Asset ID","Attribute","","LS-004408"
"x","WASTEWATER\EST FLOW\GREENLAND\EVER RANGE PKWY - 12297","PI Tag","Attribute","","STJOHNS:EVE12297"
"x","WASTEWATER\EST FLOW\GREENLAND\EVER RANGE PKWY - 12297","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\GREENLAND\EVER RANGE PKWY - 12297","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\GREENLAND\EVER RANGE PKWY - 12297","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\MONTEREY","POMPANO DR - 5838","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\MONTEREY\POMPANO DR - 5838","CMMS Asset ID","Attribute","","LS-001789"
"x","WASTEWATER\EST FLOW\MONTEREY\POMPANO DR - 5838","PI Tag","Attribute","","EAST:POM5838"
"x","WASTEWATER\EST FLOW\MONTEREY\POMPANO DR - 5838","Wetwell Area","Attribute","","113.1"
"x","WASTEWATER\EST FLOW\MONTEREY\POMPANO DR - 5838","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\MONTEREY\POMPANO DR - 5838","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","ATLANTIC BLVD - 12570","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\ATLANTIC BLVD - 12570","CMMS Asset ID","Attribute","","LS-000160"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\ATLANTIC BLVD - 12570","PI Tag","Attribute","","EAST:ATL12570"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\ATLANTIC BLVD - 12570","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\ATLANTIC BLVD - 12570","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\ATLANTIC BLVD - 12570","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","POINT PARK DR - 12621","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\POINT PARK DR - 12621","CMMS Asset ID","Attribute","","LS-001788"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\POINT PARK DR - 12621","PI Tag","Attribute","","EAST:POI12621"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\POINT PARK DR - 12621","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\POINT PARK DR - 12621","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\POINT PARK DR - 12621","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","BLUE EAGLE WAY - 12668","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BLUE EAGLE WAY - 12668","CMMS Asset ID","Attribute","","LS-000432"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BLUE EAGLE WAY - 12668","PI Tag","Attribute","","EAST:BLU12668"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BLUE EAGLE WAY - 12668","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BLUE EAGLE WAY - 12668","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BLUE EAGLE WAY - 12668","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","MEADOWSWEET LN - 12785","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\MEADOWSWEET LN - 12785","CMMS Asset ID","Attribute","","LS-001437"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\MEADOWSWEET LN - 12785","PI Tag","Attribute","","EAST:MEA12785"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\MEADOWSWEET LN - 12785","Wetwell Area","Attribute","","50.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\MEADOWSWEET LN - 12785","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\MEADOWSWEET LN - 12785","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","SAN JOSE BLVD - 5000","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\SAN JOSE BLVD - 5000","CMMS Asset ID","Attribute","","LS-001973"
"x","WASTEWATER\EST FLOW\BUCKMAN\SAN JOSE BLVD - 5000","PI Tag","Attribute","","EAST:SAN5000"
"x","WASTEWATER\EST FLOW\BUCKMAN\SAN JOSE BLVD - 5000","Wetwell Area","Attribute","","38.5"
"x","WASTEWATER\EST FLOW\BUCKMAN\SAN JOSE BLVD - 5000","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\SAN JOSE BLVD - 5000","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","PATSY ANNE DR - 2450","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\PATSY ANNE DR - 2450","CMMS Asset ID","Attribute","","LS-001688"
"x","WASTEWATER\EST FLOW\BUCKMAN\PATSY ANNE DR - 2450","PI Tag","Attribute","","EAST:PAT2450"
"x","WASTEWATER\EST FLOW\BUCKMAN\PATSY ANNE DR - 2450","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\BUCKMAN\PATSY ANNE DR - 2450","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\BUCKMAN\PATSY ANNE DR - 2450","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","RICHARD ST - 4903","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\RICHARD ST - 4903","CMMS Asset ID","Attribute","","LS-001867"
"x","WASTEWATER\EST FLOW\BUCKMAN\RICHARD ST - 4903","PI Tag","Attribute","","EAST:RIC4903"
"x","WASTEWATER\EST FLOW\BUCKMAN\RICHARD ST - 4903","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\BUCKMAN\RICHARD ST - 4903","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\BUCKMAN\RICHARD ST - 4903","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","SALISBURY RD - 6903","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SALISBURY RD - 6903","CMMS Asset ID","Attribute","","LS-001941"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SALISBURY RD - 6903","PI Tag","Attribute","","SOUTH:SAL6903"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SALISBURY RD - 6903","Wetwell Area","Attribute","","78.5"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SALISBURY RD - 6903","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SALISBURY RD - 6903","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","SOUTHBROOK DR - 9586","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SOUTHBROOK DR - 9586","CMMS Asset ID","Attribute","","LS-002088"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SOUTHBROOK DR - 9586","PI Tag","Attribute","","SOUTH:SOU9586"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SOUTHBROOK DR - 9586","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SOUTHBROOK DR - 9586","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SOUTHBROOK DR - 9586","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","HILSDALE RD - 8051","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HILSDALE RD - 8051","CMMS Asset ID","Attribute","","LS-001087"
"x","WASTEWATER\EST FLOW\BUCKMAN\HILSDALE RD - 8051","PI Tag","Attribute","","SOUTH:HIL8051"
"x","WASTEWATER\EST FLOW\BUCKMAN\HILSDALE RD - 8051","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\BUCKMAN\HILSDALE RD - 8051","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\BUCKMAN\HILSDALE RD - 8051","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","BELFORT RD - 3329","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT RD - 3329","CMMS Asset ID","Attribute","","LS-000372"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT RD - 3329","PI Tag","Attribute","","SOUTH:BEL3329"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT RD - 3329","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT RD - 3329","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT RD - 3329","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","SLEIMAN PKWY - 4302","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SLEIMAN PKWY - 4302","CMMS Asset ID","Attribute","","LS-002075"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SLEIMAN PKWY - 4302","PI Tag","Attribute","","SOUTH:SLE4302"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SLEIMAN PKWY - 4302","Wetwell Area","Attribute","","28.3"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SLEIMAN PKWY - 4302","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\SLEIMAN PKWY - 4302","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","DEER LAKE DR E - 4831","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\DEER LAKE DR E - 4831","CMMS Asset ID","Attribute","","LS-000696"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\DEER LAKE DR E - 4831","PI Tag","Attribute","","SOUTH:DEE4831"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\DEER LAKE DR E - 4831","Wetwell Area","Attribute","","78.5"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\DEER LAKE DR E - 4831","cte","Element","_cte_lead",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\DEER LAKE DR E - 4831","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","PERIMETER PARK BLVD - 8784","Element","_Liftstation",""
