"Selected(x)","Parent","Name","ObjectType","Template","AttributeValue"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT LANDING DR - 8518","PI Tag","Attribute","","SOUTH:BEL8518"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT LANDING DR - 8518","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT LANDING DR - 8518","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\BELFORT LANDING DR - 8518","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","MYRTLE OAK RD - 6811","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\MYRTLE OAK RD - 6811","CMMS Asset ID","Attribute","","LS-004324"
"x","WASTEWATER\EST FLOW\CEDAR BAY\MYRTLE OAK RD - 6811","PI Tag","Attribute","","NORTH:MYR6811"
"x","WASTEWATER\EST FLOW\CEDAR BAY\MYRTLE OAK RD - 6811","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\MYRTLE OAK RD - 6811","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\MYRTLE OAK RD - 6811","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","WHELAN AVE - 12706","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\WHELAN AVE - 12706","CMMS Asset ID","Attribute","","LS-004325"
"x","WASTEWATER\EST FLOW\CEDAR BAY\WHELAN AVE - 12706","PI Tag","Attribute","","NORTH:WHE12706"
"x","WASTEWATER\EST FLOW\CEDAR BAY\WHELAN AVE - 12706","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\WHELAN AVE - 12706","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\WHELAN AVE - 12706","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","PERCY CREEK DR - 12607","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\PERCY CREEK DR - 12607","CMMS Asset ID","Attribute","","LS-004329"
"x","WASTEWATER\EST FLOW\CEDAR BAY\PERCY CREEK DR - 12607","PI Tag","Attribute","","NORTH:PER12607"
"x","WASTEWATER\EST FLOW\CEDAR BAY\PERCY CREEK DR - 12607","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\PERCY CREEK DR - 12607","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\PERCY CREEK DR - 12607","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\GREENLAND","BAY LAKE DR - 98","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\GREENLAND\BAY LAKE DR - 98","CMMS Asset ID","Attribute","","LS-004328"
"x","WASTEWATER\EST FLOW\GREENLAND\BAY LAKE DR - 98","PI Tag","Attribute","","STJOHNS:BAY98"
"x","WASTEWATER\EST FLOW\GREENLAND\BAY LAKE DR - 98","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\GREENLAND\BAY LAKE DR - 98","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\GREENLAND\BAY LAKE DR - 98","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","LUSSO LN - 4640","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\LUSSO LN - 4640","CMMS Asset ID","Attribute","","LS-004327"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\LUSSO LN - 4640","PI Tag","Attribute","","SOUTH:LUS4640"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\LUSSO LN - 4640","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\LUSSO LN - 4640","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\LUSSO LN - 4640","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\SOUTHWEST","TELLARO LN - 5420","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\TELLARO LN - 5420","CMMS Asset ID","Attribute","","LS-004331"
"x","WASTEWATER\EST FLOW\SOUTHWEST\TELLARO LN - 5420","PI Tag","Attribute","","WEST:TEL5420"
"x","WASTEWATER\EST FLOW\SOUTHWEST\TELLARO LN - 5420","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\SOUTHWEST\TELLARO LN - 5420","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\SOUTHWEST\TELLARO LN - 5420","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST","GOLDEN MONARCH AVE - 6804","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\GOLDEN MONARCH AVE - 6804","CMMS Asset ID","Attribute","","LS-004332"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\GOLDEN MONARCH AVE - 6804","PI Tag","Attribute","","SOUTH:GOL6804"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\GOLDEN MONARCH AVE - 6804","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\GOLDEN MONARCH AVE - 6804","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\ARLINGTON EAST\GOLDEN MONARCH AVE - 6804","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\CEDAR BAY","PARKLAND VIEW LN - 12273","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\PARKLAND VIEW LN - 12273","CMMS Asset ID","Attribute","","LS-004334"
"x","WASTEWATER\EST FLOW\CEDAR BAY\PARKLAND VIEW LN - 12273","PI Tag","Attribute","","NORTH:PAR12273"
"x","WASTEWATER\EST FLOW\CEDAR BAY\PARKLAND VIEW LN - 12273","Wetwell Area","Attribute","","50.27"
"x","WASTEWATER\EST FLOW\CEDAR BAY\PARKLAND VIEW LN - 12273","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\CEDAR BAY\PARKLAND VIEW LN - 12273","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","BARTRAM COMMONS DR - 5425","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\BARTRAM COMMONS DR - 5425","CMMS Asset ID","Attribute","","LS-004336"
"x","WASTEWATER\EST FLOW\BLACKS FORD\BARTRAM COMMONS DR - 5425","PI Tag","Attribute","","STJOHNS:BAR5425"
"x","WASTEWATER\EST FLOW\BLACKS FORD\BARTRAM COMMONS DR - 5425","Wetwell Area","Attribute","","113.1"
"x","WASTEWATER\EST FLOW\BLACKS FORD\BARTRAM COMMONS DR - 5425","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\BARTRAM COMMONS DR - 5425","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","SEAPORT BREEZE RD - 127","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\SEAPORT BREEZE RD - 127","CMMS Asset ID","Attribute","","LS-004337"
"x","WASTEWATER\EST FLOW\BLACKS FORD\SEAPORT BREEZE RD - 127","PI Tag","Attribute","","STJOHNS:SEA127"
"x","WASTEWATER\EST FLOW\BLACKS FORD\SEAPORT BREEZE RD - 127","Wetwell Area","Attribute","","63.62"
"x","WASTEWATER\EST FLOW\BLACKS FORD\SEAPORT BREEZE RD - 127","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BLACKS FORD\SEAPORT BREEZE RD - 127","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BUCKMAN","LATIGO LN - 9375","Element","_Liftstation",""
"x","WASTEWATER\EST FLOW\BUCKMAN\LATIGO LN - 9375","CMMS Asset ID","Attribute","","LS-004340"
"x","WASTEWATER\EST FLOW\BUCKMAN\LATIGO LN - 9375","PI Tag","Attribute","","WEST:LAT9375"
"x","WASTEWATER\EST FLOW\BUCKMAN\LATIGO LN - 9375","Wetwell Area","Attribute","","78.54"
"x","WASTEWATER\EST FLOW\BUCKMAN\LATIGO LN - 9375","cte","Element","_cte_leadsp",""
"x","WASTEWATER\EST FLOW\BUCKMAN\LATIGO LN - 9375","hrt","Element","_hrt",""
"x","WASTEWATER\EST FLOW\BLACKS FORD","OAK PARK DR - 34","Element","_Liftstation",""
