ENABLED,FAC_OWNER,FAC_STATE,PIPE_CLASS,PIPE_MATERIAL,PIPE_MATERIAL_ABV,LINING_MATERIAL,MEASURED_LENGTH,PLACED_BY,MODIFIED_BY,DATE_PLACED,DATE_MODIFIED,DATE_INSTALLED,DATE_BURSTED,DATE_LINED,DATA_SOURCE,SUBTYPE,DS_PIPE_INVERT_ELEVATION,US_PIPE_INVERT_ELEVATION,SLOPE,HYPERLINK_PRIMARY,DATE_CCTV,PACP_SCORE,DATE_CLEANED,CMMS_ASSET_ID,RELATED_PLANT,CAPITAL_PROJECT_NUMBER,REHAB_HYPERLINK,WBID_NUMBER,WBID_NAME,FACILITY_STATE_NOTES,HYPERLINK_SECONDARY,HYPERLINK_MAINTENANCE,CLEANING_METHOD,CCTV_HYPERLINK,FORCE_MAIN_RUN,FM_MANIFOLD_SYS,GLOBALID,MANUFACTURER,CALC_LENGTH,AVAIL_NUM,PIPE_SIZE,CF_AS_BUILT,CF_MATERIAL,CF_DATE_INSTALLED,CF_LINING_MATERIAL,CF_SIZE,CF_DS_ELEVATION,CF_SLOPE,CF_US_ELEVATION,LINING_MANUFACTURER,DS_GRADE_ELEVATION_INVERT,ORIENTATION,US_GRADE_ELEVATION_INVERT,EQUIPMENT_ID,EQUIPMENT_ID_DESCRIPTION,EQUIPMENT_CONTAINER,RECEIVING_STATION,UPSTREAM_MANHOLE,DOWNSTREAM_MANHOLE,GIS_OID,SHAPE_Length
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,26,gamaaw,gamaaw,2024-04-12T00:00:00Z,2024-04-12T00:00:00Z,2024-03-01T00:00:00Z,NA,NA,92524-33,1,69.48,69.59,0.42,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\92000_92999\92524-33.pdf,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{4262DA0C-CBFB-4BDB-A7BF-8A8A1734A280},JM Eagle,25.89037164,2022-0458,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,N/A,81.72,UG,81.44,NA,NA,NA,NA,NA,NA,1988995,25.890371633586735
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,35,gamaaw,gamaaw,2024-04-12T00:00:00Z,2024-04-12T00:00:00Z,2024-03-01T00:00:00Z,NA,NA,92524-33,1,69.69,69.85,0.46,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\92000_92999\92524-33.pdf,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{FA344402-1D07-47AD-A7A8-DDD86BC7BDDA},JM Eagle,34.88257646,2022-0458,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,N/A,81.05,UG,80.43,NA,NA,NA,NA,NA,NA,1988996,34.882576463770704
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,218,gamaaw,gamaaw,2024-04-12T00:00:00Z,2024-04-12T00:00:00Z,2024-03-01T00:00:00Z,NA,NA,92524-33,1,69.85,70.81,0.44,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\92000_92999\92524-33.pdf,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{DA23A635-D8D2-4F99-9165-F53FCFD1684D},JM Eagle,218.14555317,2022-0458,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,N/A,80.43,UG,79.99,NA,NA,NA,NA,NA,NA,1988997,218.14555316879438
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,383,gamaaw,gamaaw,2024-04-12T00:00:00Z,2024-04-12T00:00:00Z,2024-03-01T00:00:00Z,NA,NA,92524-33,1,70.93,72.46,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\92000_92999\92524-33.pdf,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{5AEC6428-1A4A-428C-8FFB-9F15FFF7D8C6},JM Eagle,383.16510285,2022-0458,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,N/A,79.99,UG,80.67,NA,NA,NA,NA,NA,NA,1988998,383.1651028483175
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,226,gamaaw,gamaaw,2024-04-12T00:00:00Z,2024-04-12T00:00:00Z,2024-03-01T00:00:00Z,NA,NA,92524-33,1,72.73,73.64,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\92000_92999\92524-33.pdf,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{C5B7EFA7-E1FF-468A-8D0C-796881BC8F3E},JM Eagle,226.10640889,2022-0458,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,N/A,80.67,UG,79.93,NA,NA,NA,NA,NA,NA,1988999,226.1064088924477
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,122,gamaaw,gamaaw,2024-04-12T00:00:00Z,2024-04-12T00:00:00Z,2024-03-01T00:00:00Z,NA,NA,92524-33,1,73.74,74.23,0.4,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\92000_92999\92524-33.pdf,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{9F964247-7F9B-4D8F-8EEC-39C544762682},JM Eagle,121.72461123,2022-0458,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,N/A,79.93,UG,79.83,NA,NA,NA,NA,NA,NA,1989000,121.72461122374888
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,103,gamaaw,gamaaw,2024-04-12T00:00:00Z,2024-04-12T00:00:00Z,2024-03-01T00:00:00Z,NA,NA,92524-33,1,74.25,74.67,0.41,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\92000_92999\92524-33.pdf,NA,NA,NA,NA,NA,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{8D79432D-7C26-4E84-9E44-7E99D1B05058},JM Eagle,102.90946925,2022-0458,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,N/A,79.93,UG,80.08,NA,NA,NA,NA,NA,NA,1989001,102.90946925446829
