ANCILLARYROLE,ENABLED,FAC_OWNER,FAC_STATE,PLACED_BY,MODIFIED_BY,DATE_PLACED,DATE_MODIFIED,GPS_X_COORD,GPS_Y_COORD,SYMBOL_ROTATION,DATA_SOURCE,SUBTYPE,MANHOLE_TYPE,DEPTH,MATERIAL,LINING_MATERIAL,RIM_ELEVATION,DATE_LINED,DATE_CLEANED,DROP_TYPE,CAPITAL_PROJECT_NUMBER,DATE_INSTALLED,WBID_NUMBER,WBID_NAME,H2S_RESIDUE_PRESENT,CMMS_ASSET_ID,LARGE_GRID,SMALL_GRID,GPS_LATITUDE,GPS_LONGITUDE,RFID_BARCODE,PI_TAG,GLOBALID,MANUFACTURER,AVAIL_NUM,MANHOLE_SIZE,BASIN_LOWPT,RECEIVING_PUMPSTATION,RECEIVING_PLANT,CF_AS_BUILT,CF_MATERIAL,CF_LINING_MATERIAL,CF_DATE_LINED,CF_DEPTH,CF_RIM_ELEVATION,LINING_MANUFACTURER,MODEL_NODE,EXT_JOINT_TAPE_MANUFACTURER,EXT_JOINT_TAPE_TYPE,MANHOLE_DIMENSIONS,LIDAR_RIM_ELEVATION,LIDAR_SOURCE,GIS_OID,btm
0,1,JEA,INS,gamaaw,NA,2024-04-12T00:00:00Z,NA,397378.46,2151030.17,0,92524-33,1,Junction,11.85,Precast,Other,81.44,2024-03-01T00:00:00Z,NA,Unknown,-999,2024-03-01T00:00:00Z,2332,UNNAMED DITCH,NA,MH-3473667,NA,NA,30.2479386,-81.8195924,NA,NA,{BFC18C4E-DCA1-44E3-97CA-B85E18815E85},Standard Precast,2022-0458,4,NA,NA,WW-001,NA,As Built,As Built,As Built,As Built,As Built,Pro-Tech Coatings,NA,Rub-R-Nek/Henry Company,Unknown,NA,NA,NA,941787,69.59
0,1,JEA,INS,gamaaw,NA,2024-04-12T00:00:00Z,NA,397343.58,2151030.63,0,92524-33,1,A,10.58,Precast,Other,80.43,2024-03-01T00:00:00Z,NA,Unknown,-999,2024-03-01T00:00:00Z,2332,UNNAMED DITCH,NA,MH-3473668,NA,NA,30.2479392,-81.8197029,NA,NA,{FC7A8A47-FF5E-495A-9C8C-75288B2F2514},Standard Precast,2022-0458,4,NA,NA,WW-001,NA,As Built,As Built,As Built,As Built,As Built,Pro-Tech Coatings,NA,Rub-R-Nek/Henry Company,Unknown,NA,NA,NA,941789,69.85000000000001
0,1,JEA,INS,gamaaw,NA,2024-04-12T00:00:00Z,NA,397335.35,2151248.62,0,92524-33,1,A,9.18,Precast,Other,79.99,2024-03-01T00:00:00Z,NA,Unknown,-999,2024-03-01T00:00:00Z,2332,UNNAMED DITCH,NA,MH-3473669,NA,NA,30.2485384,-81.8197339,NA,NA,{FB2278D4-E082-45A4-A4E2-8B1010E496F8},Standard Precast,2022-0458,4,NA,NA,WW-001,NA,As Built,As Built,As Built,As Built,As Built,Pro-Tech Coatings,NA,Rub-R-Nek/Henry Company,Unknown,NA,NA,NA,941790,70.81
0,1,JEA,INS,gamaaw,NA,2024-04-12T00:00:00Z,NA,397320.83,2151631.51,0,92524-33,1,A,8.21,Precast,Other,80.67,2024-03-01T00:00:00Z,NA,Unknown,-999,2024-03-01T00:00:00Z,2332,UNNAMED DITCH,NA,MH-3473670,NA,NA,30.2495908,-81.8197887,NA,NA,{09C2C1F3-9D0A-4B58-8AEB-29F601F88A63},Standard Precast,2022-0458,4,NA,NA,WW-001,NA,As Built,As Built,As Built,As Built,As Built,Pro-Tech Coatings,NA,Rub-R-Nek/Henry Company,Unknown,NA,NA,NA,941791,72.46000000000001
0,1,JEA,INS,gamaaw,NA,2024-04-12T00:00:00Z,NA,397208.57,2151853.64,0,92524-33,1,C,5.41,Precast,Other,80.08,2024-03-01T00:00:00Z,NA,Unknown,-999,2024-03-01T00:00:00Z,2332,UNNAMED DITCH,NA,MH-3473671,NA,NA,30.2501993,-81.8201493,NA,NA,{321B4774-9ABE-4C52-9095-0AB5F5C49D1A},Standard Precast,2022-0458,4,NA,NA,WW-001,NA,As Built,As Built,As Built,As Built,As Built,Pro-Tech Coatings,NA,Rub-R-Nek/Henry Company,Unknown,NA,NA,NA,941792,74.67
0,1,JEA,INS,gamaaw,NA,2024-04-12T00:00:00Z,NA,397311.41,2151857.42,0,92524-33,1,A,6.29,Precast,Other,79.93,2024-03-01T00:00:00Z,NA,Unknown,-999,2024-03-01T00:00:00Z,2332,UNNAMED DITCH,NA,MH-3473672,NA,NA,30.2502117,-81.8198237,NA,NA,{66B408DE-9285-441C-9723-D4643DA2146F},Standard Precast,2022-0458,4,NA,NA,WW-001,NA,As Built,As Built,As Built,As Built,As Built,Pro-Tech Coatings,NA,Rub-R-Nek/Henry Company,Unknown,NA,NA,NA,941793,73.64
0,1,JEA,INS,gamaaw,NA,2024-04-12T00:00:00Z,NA,397433.06,2151861.68,0,92524-33,1,C,5.6,Precast,Other,79.83,2024-03-01T00:00:00Z,NA,Unknown,-999,2024-03-01T00:00:00Z,2332,UNNAMED DITCH,NA,MH-3473673,NA,NA,30.2502258,-81.8194385,NA,NA,{59C4733A-808F-4BD6-BEED-7CAA767174C3},Standard Precast,2022-0458,4,NA,NA,WW-001,NA,As Built,As Built,As Built,As Built,As Built,Pro-Tech Coatings,NA,Rub-R-Nek/Henry Company,Unknown,NA,NA,NA,941794,74.23
