ENABLED,FAC_OWNER,FAC_STATE,PIPE_CLASS,PIPE_MATERIAL,PIPE_MATERIAL_ABV,LINING_MATERIAL,MEASURED_LENGTH,PLACED_BY,MODIFIED_BY,DATE_PLACED,DATE_MODIFIED,DATE_INSTALLED,DATE_BURSTED,DATE_LINED,DATA_SOURCE,SUBTYPE,DS_PIPE_INVERT_ELEVATION,US_PIPE_INVERT_ELEVATION,SLOPE,HYPERLINK_PRIMARY,DATE_CCTV,PACP_SCORE,DATE_CLEANED,CMMS_ASSET_ID,RELATED_PLANT,CAPITAL_PROJECT_NUMBER,REHAB_HYPERLINK,WBID_NUMBER,WBID_NAME,FACILITY_STATE_NOTES,HYPERLINK_SECONDARY,HYPERLINK_MAINTENANCE,CLEANING_METHOD,CCTV_HYPERLINK,FORCE_MAIN_RUN,FM_MANIFOLD_SYS,GLOBALID,MANUFACTURER,CALC_LENGTH,AVAIL_NUM,PIPE_SIZE,CF_AS_BUILT,CF_MATERIAL,CF_DATE_INSTALLED,CF_LINING_MATERIAL,CF_SIZE,CF_DS_ELEVATION,CF_SLOPE,CF_US_ELEVATION,LINING_MANUFACTURER,DS_GRADE_ELEVATION_INVERT,ORIENTATION,US_GRADE_ELEVATION_INVERT,EQUIPMENT_ID,EQUIPMENT_ID_DESCRIPTION,EQUIPMENT_CONTAINER,RECEIVING_STATION,UPSTREAM_MANHOLE,DOWNSTREAM_MANHOLE,GIS_OID,SHAPE_Length
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,272,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-06T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,11.2,10.23,0.35,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{56510848-2E32-4EC0-B0C9-2B1F58761B95},National Pipe & Plastics/National PVC,273.42752166,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,23.09,UG,22.87,NA,NA,NA,NA,NA,NA,1686080,273.4275216617222
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,272,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,17.31,16.21,0.45,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{AE8EAA0A-8F32-47F5-A42D-8BAC0A903AA2},National Pipe & Plastics/National PVC,275.38320673,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,22.87,UG,24.65,NA,NA,NA,NA,NA,NA,1686081,275.38320672516835
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,243,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-06T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,12.12,11.25,0.36,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{0CE121B5-CF97-4DEF-9FE1-87D496DF4356},National Pipe & Plastics/National PVC,244.89684544,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,22.87,UG,24.65,NA,NA,NA,NA,NA,NA,1686082,244.8968454403424
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,243,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,18.12,17.11,0.41,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{8C1B5E0C-4831-4D49-A530-7D5996055EF1},National Pipe & Plastics/National PVC,247.05945844,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,22.87,UG,24.65,NA,NA,NA,NA,NA,NA,1686083,247.05945844047744
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,103,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,12.52,12.14,0.37,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{65BB220E-028B-43AE-965B-22070BD1AFD8},National Pipe & Plastics/National PVC,101.32600139,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.67,UG,24.12,NA,NA,NA,NA,NA,NA,1686084,101.32600138543245
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,196,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,19.05,18.12,0.47,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{6A9A8D76-593E-4CC2-AB0F-94045576421A},National Pipe & Plastics/National PVC,196.88084813,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.12,UG,24.78,NA,NA,NA,NA,NA,NA,1686085,196.88084813450598
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,222,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,13.3,12.59,0.35,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{D8FC72C4-E830-4D60-827F-AC86F2702B56},National Pipe & Plastics/National PVC,216.97920548,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.12,UG,24.63,NA,NA,NA,NA,NA,NA,1686086,216.97920547729072
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,228,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,14.1,13.31,0.35,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{17253795-6FC8-4122-B235-44AEAF4B9308},National Pipe & Plastics/National PVC,229.55039499,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.63,UG,24.99,NA,NA,NA,NA,NA,NA,1686087,229.5503949895378
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,287,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,15.85,14.85,0.35,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{D8ADAAEA-62C9-4798-A511-FF537B47C270},National Pipe & Plastics/National PVC,281.70039829,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.99,UG,24.37,NA,NA,NA,NA,NA,NA,1686088,281.700398289095
1,JEA,INS,SDR26 / PR160,PVC,PVC,Unknown,172,gamaaw,gamaaw,2023-09-06T00:00:00Z,2023-09-07T00:00:00Z,2022-10-01T00:00:00Z,NA,NA,87789-813,1,16.5,15.89,0.35,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\87000_87999\87789-813.pdf,NA,NA,NA,NA,WW-005,-999,NA,2142,UNNAMED SLOUGH,NA,NA,NA,NA,NA,NA,NA,{04CD1540-93EE-4B49-A18B-A65F1667D7E4},National Pipe & Plastics/National PVC,178.09670405,2020-2433,8,NA,As Built,As Built,Not Provided,As Built,As Built,As Built,As Built,Not Provided,24.37,UG,25.53,NA,NA,NA,NA,NA,NA,1686089,178.09670405176627
