"CMMS_ASSET_ID","STREET_NAME","STREET_NUMBER","PI_TAG"
"LS-001040","HEATHER GROVE LN","11745","WWL:SOUTH:HEA11745"
"LS-001646","OLDFIELD POINT DR","11969","WWL:SOUTH:OLD11969"
"LS-000721","DEWBERRY DR","801","WWL:STJOHNS:DEW801"
"LS-001396","MANEY DR","2235","WWL:SOUTH:MAN2235"
"LS-000763","DUSKIN DR","901","WWL:EAST:DUS901"
"LS-001267","LANSDOWNE DR","2421","WWL:EAST:LAN2421"
"LS-000057","ABBEYFIELD LN","3215","WWL:EAST:ABB3215"
"LS-002010","SANDBURG RD","3446","WWL:EAST:SAN3446"
"LS-001281","LEESBURG DR","3596","WWL:EAST:LEE3596"
"LS-000813","EDGEWOOD AVE W","904","WWL:NORTH:EDG904"
"LS-000891","FLORADALE DR S","2751","WWL:NORTH:FLO2751"
"LS-001357","LONGLEAF ST","5175","WWL:NORTH:LON5175"
"LS-001195","KINGSBURY ST","4140","WWL:WEST:KIN4140"
"LS-002189","STANDISH PL","718","WWL:NORTH:STA718"
"LS-000083","ALDEN RD","12106","WWL:EAST:ALD12106"
"LS-000667","CURRITUCK DR N","13410","WWL:EAST:CUR13410"
"LS-001929","RUNNING RIVER RD","1350","WWL:EAST:RUN1350"
"LS-002456","WINDY WILLOWS DR N","12665","WWL:EAST:WIN12665"
"LS-000401","BLAGDON CT","460","WWL:EAST:BLA460"
"LS-002391","WASHINGTON ST N","600","WWL:NORTH:WAS600"
"LS-002158","ST AUGUSTINE RD","5805","WWL:EAST:STA5805"
"LS-000439","BOATWRIGHT WAY","3500","WWL:SOUTH:BOA3500"
"LS-000441","BONNEVAL RD","6961","WWL:SOUTH:BON6961"
"LS-001518","NATIONS WAY","8205","WWL:SOUTH:NAT8205"
"LS-000371","BELFORT PKWY","7803","WWL:SOUTH:BEL7803"
"LS-001099","HOLLYRIDGE RD","7871","WWL:SOUTH:HOL7871"
"LS-000571","CHETS CREEK BLVD","13225","WWL:EAST:CHE13225"
"LS-002436","W M DAVIS PKWY W","13812","WWL:EAST:WIL13812"
"LS-000147","ARUNDEL WAY","9099","WWL:SOUTH:ARU9099"
"LS-002387","WALNUT BEND","4269","WWL:SOUTH:WAL4269"
"LS-001388","MANDARIN RD","11741","WWL:SOUTH:MAN11741"
"LS-001961","SAN JOSE BLVD","11247","WWL:SOUTH:SAN11247"
"LS-001368","LOSCO RD","5141","WWL:SOUTH:LOS5141"
"LS-000148","ASHFORD CROSSING DR","10031","WWL:SOUTH:ASH10031"
"LS-000699","DEERCREEK CLUB RD E","10000","WWL:SOUTH:DEE10000"
"LS-000254","BAYMEADOWS RD","10702","WWL:SOUTH:BAY10702"
"LS-000374","BELLE RIVE BLVD","10222","WWL:SOUTH:BEL10222"
"LS-002275","TIMBERLIN LAKE RD","9025","WWL:SOUTH:TIM9025"
"LS-001363","LORETTO RD","4008","WWL:SOUTH:LOR4008"
"LS-002400","WEATHERWOOD ESTATES DR","4174","WWL:SOUTH:WEA4174"
"LS-001805","PRAIRIE VIEW DR","12250","WWL:SOUTH:PRA12250"
"LS-001104","HOOD LANDING RD","12403","WWL:SOUTH:HOO12403"
"LS-000399","BLACKBERRY LN","921","WWL:STJOHNS:BLA921"
"LS-002009","SANDALWOOD BLVD","1767","WWL:EAST:SAN1767"
"LS-001269","LANTANA LAKES DR E","2841","WWL:EAST:LAN2841"
"LS-000962","GOLDENROD CIR N","12005","WWL:EAST:GOL12005"
"LS-000384","BIGGIN CHURCH RD S","13215","WWL:EAST:BIG13215"
"LS-001383","MAJESTIC OAKS DR","3482","WWL:EAST:MAJ3482"
"LS-000529","CASTAWAY DR","2499","WWL:EAST:CAS2499"
"LS-000511","CANOPY OVERLOOK CT","13996","WWL:EAST:CAN13996"
"LS-002131","SPRING PARK RD","4511","WWL:EAST:SPR4511"
"LS-000489","BRYAN ST","250","WWL:NORTH:BRY250"
"LS-002466","WOODLEY CREEK BLVD","10340","WWL:NORTH:WOO10340"
"LS-001695","PECAN PARK RD","14201","WWL:NORTH:PEC14201"
"LS-001696","PECAN PARK RD","14300","WWL:NORTH:PEC14300"
"LS-001477","MONCRIEF RD W","5447","WWL:NORTH:MON5447"
"LS-001471","MISSISSIPPI CT","4840","WWL:NORTH:MIS4840"
"LS-000580","CIVIC CLUB DR","7150","WWL:NORTH:CIV7150"
"LS-002402","WELLHOUSE DR","747","WWL:WEST:WEL747"
"LS-001123","IMESON RD","1492","WWL:WEST:IME1492"
"LS-002044","SHELBY CREEK RD W","2410","WWL:WEST:SHE2410"
