Join_Count,TARGET_FID,ANCILLARYR,ENABLED,FAC_OWNER,FAC_STATE,PLACED_BY,MODIFIED_B,DATE_PLACE,DATE_MODIF,GPS_X_COOR,GPS_Y_COOR,SYMBOL_ROT,DATA_SOURC,SUBTYPE,S_COMMON_N,MAINT_DIST,STREET_NAM,STREET_NUM,STATION_SY,PUMPSTATIO,HYPERLINK,GPS_LATITU,GPS_LONGIT,RECEIVING_,CMMS_ASSET,RFID_BARCO,PI_TAG,GENERATOR,DIESEL_PUM,GLOBALID,VALID_STRE,GIS_STREET,WETWELL_TO,WETWELL_IN,WETWELL_BT,BASIN_LOWP,CF_WETWELL,CF_WETWE_1,CF_WETWE_2,AVAIL_NUM,DATE_INSTA,MODEL_NODE,EQUIPMENT_,PARENT_EQU,GIS_OID,METER_NUMB,WATERTRACE,NAME,OWNER,TR_PLANT,STATUS,TYPE,GLOBALID_1,PLANTASSET,SHAPE_Leng,SHAPE_Area
1,1,0,1,JEA,INS,S_02B,richp,8/9/1999,10/3/2025,505213.10000000000,2175687.40000000000,0.00000000000,WSSP P/S DATABASE,1,ATL-12570,D4,ATLANTIC BLVD,12570,ATL-12570,2,,,,WW-011,LS-000160,,WWL:EAST:ATL12570,Yes,No,{0CBFF7C5-2E03-4FD9-86B8-77A7B071E1A5},60238,12570 ATLANTIC BLVD,31.67000000000,0.00000000000,0.00000000000,,,,,,1/1/1980,,,,1032,20336904,6815744,Arlington East,JEA,Arlington East,Current,Public,{8B362B47-EDD2-41B7-A477-63B1D518C858},WW-011,553008.37528600000,3077603226.93000000000
1,2,0,1,JEA,INS,S_02B,gooddg,8/7/1999,7/12/2024,504427.10000000000,2187615.50000000000,0.00000000000,WSSP P/S DATABASE,1,POI-12621,D4,POINT PARK DR,12621,POI-12621,1,,,,WW-011,LS-001788,,WWL:EAST:POI12621,,,{9158AF8B-EF55-4EAD-802A-95432A1C906E},69656,12621 POINT PARK DR,25.90000000000,0.00000000000,0.00000000000,,,,,,1/1/1980,,,,1035,19645117,6815744,Arlington East,JEA,Arlington East,Current,Public,{8B362B47-EDD2-41B7-A477-63B1D518C858},WW-011,553008.37528600000,3077603226.93000000000
1,3,0,1,JEA,INS,S_02B,picktn,8/7/1999,8/6/2025,504867.60000000000,2185824.50000000000,0.00000000000,WSSP P/S DATABASE,1,BLU-12668,D4,BLUE EAGLE WAY,12668,BLU-12668,2,,,,WW-011,LS-000432,,WWL:EAST:BLU12668,Yes,No,{4C1AB450-5318-405A-8985-C2A4B780CCB5},60995,12668 BLUE EAGLE WAY,22.98000000000,0.00000000000,0.00000000000,,,,,,1/1/1980,,,,1036,20337483,6815744,Arlington East,JEA,Arlington East,Current,Public,{8B362B47-EDD2-41B7-A477-63B1D518C858},WW-011,553008.37528600000,3077603226.93000000000
1,4,0,1,JEA,INS,S_02B,picktn,8/9/1999,8/6/2025,506833.20000000000,2181075.00000000000,0.00000000000,WSSP P/S DATABASE,1,MEA-12785,D4,MEADOWSWEET LN,12785,MEA-12785,1,G:\Services\Shared\STANDARD\AsBuilts\WaterSewer\26000_26999\26820-32.pdf,,,WW-011,LS-001437,,WWL:EAST:MEA12785,Yes,No,{F60E44B1-06D7-482E-8C25-AB5D750C8921},67907,12785 MEADOWSWEET LN,22.55000000000,0.00000000000,0.00000000000,,,,,,1/1/1980,,,,1037,20337339,6815744,Arlington East,JEA,Arlington East,Current,Public,{8B362B47-EDD2-41B7-A477-63B1D518C858},WW-011,553008.37528600000,3077603226.93000000000
1,5,0,1,JEA,INS,S_15A,picktn,11/3/1999,8/6/2025,451583.40000000000,2157242.10000000000,307.32307675000,69012,1,SAN-5000,D4,SAN JOSE BLVD,5000,SAN-5000,1,,-999,-999,BUCKMAN,LS-001973,,WWL:EAST:SAN5000,,,{350D3A7E-435A-4F4B-B68E-5ECF2C9770E4},70697,5000 SAN JOSE BLVD,17.00000000000,0.00000000000,0.00000000000,,,,,,2/1/2013,,,,1039,20336650,6815744,Buckman,JEA,Buckman,Current,Public,{BEF8178E-64FA-4A72-88AA-753A41F25537},BUCKMAN,575195.36979500000,3421527662.90000000000
1,6,0,1,JEA,INS,S_15A,picktn,11/3/1999,5/12/2025,455515.60000000000,2156923.70000000000,0.00000000000,WSSP P/S DATABASE,1,PAT-2450,D4,PATSY ANNE DR,2450,PAT-2450,1,,,,BUCKMAN,LS-001688,,WWL:EAST:PAT2450,,,{9669CFE5-D891-42A6-AF78-F68A8448EEBB},69230,2450 PATSY ANNE DR,16.82000000000,0.00000000000,0.00000000000,Yes,,,,,12/2/2004,,,,1040,20337428,6815744,Buckman,JEA,Buckman,Current,Public,{BEF8178E-64FA-4A72-88AA-753A41F25537},BUCKMAN,575195.36979500000,3421527662.90000000000
1,7,0,1,JEA,INS,S_15A,picktn,11/3/1999,8/6/2025,461687.60000000000,2158731.50000000000,0.00000000000,WSSP P/S DATABASE,1,RIC-4903,D4,RICHARD ST,4903,RIC-4903,2,,,,BUCKMAN,LS-001867,,WWL:EAST:RIC4903,Yes,No,{3742714F-633D-4F0B-8DDD-887A49305B0D},70168,4903 RICHARD ST,23.00000000000,0.00000000000,0.00000000000,,,,,,1/1/1954,,,,1041,20337377,6815744,Buckman,JEA,Buckman,Current,Public,{BEF8178E-64FA-4A72-88AA-753A41F25537},BUCKMAN,575195.36979500000,3421527662.90000000000
1,11,0,1,JEA,INS,S_01A,picktn,7/13/1999,8/6/2025,470298.00000000000,2150877.90000000000,0.00000000000,WSSP P/S DATABASE,1,SAL-6903,D5,SALISBURY RD,6903,SAL-6903,2,,,,WW-011,LS-001941,,WWL:SOUTH:SAL6903,Yes,No,{9B24699B-475D-4A91-B100-7DA8D7D00696},70651,6903 SALISBURY RD,21.93000000000,0.00000000000,0.00000000000,,,,,,1/1/1980,,,,1045,20336987,6815744,Arlington East,JEA,Arlington East,Current,Public,{8B362B47-EDD2-41B7-A477-63B1D518C858},WW-011,553008.37528600000,3077603226.93000000000
1,13,0,1,JEA,INS,S_01A,picktn,7/13/1999,8/6/2025,478781.70000000000,2146593.50000000000,0.00000000000,WSSP P/S DATABASE,1,SOU-9586,D5,SOUTHBROOK DR,9586,SOU-9586,1,,,,WW-011,LS-002088,,WWL:SOUTH:SOU9586,,,{A4B8AC4A-2162-4669-8387-C36707EF1D57},71471,9586 SOUTHBROOK DR,26.12000000000,0.00000000000,0.00000000000,,,,,,1/1/1980,,,,1047,20336966,6815744,Arlington East,JEA,Arlington East,Current,Public,{8B362B47-EDD2-41B7-A477-63B1D518C858},WW-011,553008.37528600000,3077603226.93000000000
1,14,0,1,JEA,INS,S_03A,picktn,8/27/1999,8/6/2025,475415.00000000000,2159286.30000000000,0.00000000000,WSSP P/S DATABASE,1,HIL-8051,D5,HILSDALE RD,8051,HIL-8051,1,,,,BUCKMAN,LS-001087,,WWL:SOUTH:HIL8051,,,{676A97E3-FBFD-4B22-A2E7-3ED708B31AAA},65535,8051 HILSDALE RD,25.54000000000,0.00000000000,0.00000000000,,,,,,1/1/1970,,,,1048,20336594,6815744,Buckman,JEA,Buckman,Current,Public,{BEF8178E-64FA-4A72-88AA-753A41F25537},BUCKMAN,575195.36979500000,3421527662.90000000000
